feature	score	std	#I-out-of-135	#O-out-of-277
geneexp##PA14_15470,merP	0.01284709519	0.058203156319	  (0, 0)	592.17199503	  (0, 0)	394.764325556
geneexp##PA14_22130	0.00253093278943	0.022206864203	  (0, 0)	227.714473453	  (0, 0)	61.2086395663
geneexp##PA14_08400	0.0025149335136	0.0181211444296	  (0, 0)	868.690559555	  (0, 0)	1944.61542795
geneexp##PA14_31270	0.00250267586189	0.019248291079	  (0, 0)	197.901714764	  (0, 0)	216.376864883
geneexp##PA14_52000	0.00247765549121	0.0205133107799	  (0, 0)	626.855358944	  (0, 0)	1432.80332937
geneexp##PA14_60270	0.00239491536773	0.0191298039282	  (0, 0)	778.573572231	  (0, 0)	1740.10173594
geneexp##PA14_55960,pctC	0.00236878830525	0.0183997835814	  (0, 0)	779.135477609	  (0, 0)	1797.5626978
geneexp##PA14_22110	0.00230154909723	0.0221169688142	  (0, 0)	285.668656215	  (0, 0)	82.4886114885
geneexp##PA14_01140	0.00223886231942	0.0176679211579	  (0, 0)	764.515583329	  (0, 0)	1262.46645149
geneexp##PA14_08200	0.00216186935832	0.0198098392015	  (0, 0)	210.111427857	  (0, 0)	1133.0979558
geneexp##PA14_58760,pilC	0.00214393469232	0.0172931685782	  (0, 0)	814.521685231	  (0, 0)	1863.71688238
geneexp##PA14_51620	0.00212491634938	0.0165245768845	  (0, 0)	850.376674653	  (0, 0)	1400.13232561
geneexp##PA14_49510,pyoS3I	0.0020338987014	0.0183245556742	  (0, 0)	475.054876217	  (0, 0)	272.288796158
geneexp##PA14_29330	0.00202657268113	0.0179630367499	  (0, 0)	493.5860855	  (0, 0)	345.859157021
geneexp##PA14_08240	0.00195382883712	0.0178790894663	  (0, 0)	330.584880566	  (0, 0)	1264.62706463
geneexp##PA14_13910	0.001889304308	0.0142246930465	  (0, 0)	24.8351961711	  (0, 0)	368.870622143
geneexp##PA14_24390	0.00186999385601	0.0166552290035	  (0, 0)	693.566925472	  (0, 0)	1530.06602131
geneexp##PA14_34170	0.00185983951487	0.0159056541614	  (0, 0)	414.041948193	  (0, 0)	572.007915149
geneexp##PA14_33800	0.00182745514175	0.0178221556577	  (0, 0)	396.02032572	  (0, 0)	1025.12056033
geneexp##PA14_08270	0.00182053239178	0.017800372541	  (0, 0)	371.027941915	  (0, 0)	1102.03710506
geneexp##PA14_49500	0.00180682896275	0.0191343229314	  (0, 0)	339.558210314	  (0, 0)	946.869807239
geneexp##PA14_08260	0.00178896630217	0.0167137149157	  (0, 0)	188.222716011	  (0, 0)	846.62494589
geneexp##PA14_50340,flgL	0.00176914357583	0.0154733550222	  (0, 0)	776.857553958	  (0, 0)	1807.99413444
geneexp##PA14_53630	0.00175692550094	0.0165551120457	  (0, 0)	104.07186346	  (0, 0)	516.453929128
geneexp##PA14_66630,pilP	0.00174105337665	0.0166646212849	  (0, 0)	860.93140919	  (0, 0)	1916.66534256
geneexp##PA14_01120	0.00172430550347	0.0146691225512	  (0, 0)	527.503331106	  (0, 0)	947.738025879
geneexp##PA14_33650,pvdD	0.00171432993337	0.0146678134789	  (0, 0)	508.50544085	  (0, 0)	1349.4668265
geneexp##PA14_55410	0.00167376380909	0.0154519851843	  (0, 0)	427.968794618	  (0, 0)	528.408833541
geneexp##PA14_53620	0.00166549910827	0.0167292771238	  (0, 0)	160.329937137	  (0, 0)	870.238563934
geneexp##PA14_44420,fixG	0.00165910018216	0.015219422867	  (0, 0)	1025.08873833	  (0, 0)	2231.60407311
geneexp##PA14_10840	0.00162407105317	0.0163206899553	  (0, 0)	388.957042132	  (0, 0)	351.54622175
geneexp##PA14_05390,CHpA	0.00161669248157	0.0156737186836	  (0, 0)	1063.4445692	  (0, 0)	2297.15183609
geneexp##PA14_67200	0.00160379200128	0.015166029291	  (0, 0)	782.916046286	  (0, 0)	1375.5561487
geneexp##PA14_41290	0.00159306936941	0.0141283313655	  (0, 0)	426.551657577	  (0, 0)	576.785833205
geneexp##PA14_55110	0.001586859271	0.0145711356886	  (0, 0)	765.316201514	  (0, 0)	1803.36243892
geneexp##PA14_03290	0.00153451279587	0.0137329411432	  (0, 0)	863.354052412	  (0, 0)	1471.4241996
geneexp##PA14_31260	0.0015067854795	0.0135614007959	  (0, 0)	252.259314066	  (0, 0)	191.255783357
geneexp##PA14_15240	0.0014943081126	0.0149135020522	  (0, 0)	512.724801796	  (0, 0)	909.726867485
geneexp##PA14_10830	0.00148555309373	0.0138047259309	  (0, 0)	493.123473722	  (0, 0)	457.781738835
geneexp##PA14_52400,kup	0.00147968781003	0.0146157221231	  (0, 0)	720.798162159	  (0, 0)	1584.46506749
geneexp##PA14_60860,nfxB	0.001476691154	0.0151496699942	  (0, 0)	750.104913968	  (0, 0)	1671.45354039
geneexp##PA14_44430	0.00147311727701	0.0134631697121	  (0, 0)	816.539417342	  (0, 0)	1802.80051857
geneexp##PA14_30940,trbB	0.00147147959175	0.0143389787317	  (0, 0)	352.530191998	  (0, 0)	360.391723758
geneexp##PA14_07460	0.00146935498086	0.0142012733837	  (0, 0)	554.202986421	  (0, 0)	930.667097105
geneexp##PA14_50380,flgJ	0.0014668091379	0.0150455200066	  (0, 0)	830.906146605	  (0, 0)	1830.97523342
geneexp##PA14_40950,nudC	0.00144883448165	0.0143257708939	  (0, 0)	776.99735691	  (0, 0)	1692.09303293
geneexp##PA14_08280	0.0014407756956	0.0134915588187	  (0, 0)	238.6345844	  (0, 0)	1034.74671428
geneexp##PA14_03350	0.00143051704194	0.0155529529174	  (0, 0)	336.874921	  (0, 0)	396.953756816
geneexp##PA14_03300	0.00142702497216	0.0125920135392	  (0, 0)	739.179494174	  (0, 0)	1210.60845352
geneexp##PA14_13950	0.00142612444598	0.0138745976781	  (0, 0)	101.827335094	  (0, 0)	745.014364125
geneexp##PA14_03320	0.00141488930664	0.0127039419429	  (0, 0)	274.053288027	  (0, 0)	297.775656701
geneexp##PA14_69240,hemB	0.00140599149246	0.0130387976747	  (0, 0)	1097.94910707	  (0, 0)	2365.06561248
geneexp##PA14_05360,pilJ	0.00139783572073	0.013430610396	  (0, 0)	1036.03496753	  (0, 0)	2242.57603243
geneexp##PA14_33000,gcvP2	0.00138825469712	0.0123021546263	  (0, 0)	1076.60343917	  (0, 0)	1999.43382828
geneexp##PA14_05260,pyrB	0.00137591226553	0.0170007052339	  (0, 0)	874.346057361	  (0, 0)	1885.09648457
geneexp##PA14_31160	0.00137523905053	0.0141087632443	  (0, 0)	349.086505646	  (0, 0)	474.280655321
geneexp##PA14_21570	0.00136916722858	0.0126374253386	  (0, 0)	634.065351001	  (0, 0)	1558.43766638
