feature	score	std	#I-out-of-135	#O-out-of-277
genePA##,,group_2233	0.00489346729859	0.0410277641499	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_14932	0.00155681404049	0.020818643037	  (0, 0)	1.4937404174	  (0, 0)	0.0952992031157
genePA##,,group_10049	0.00154285117792	0.0123615556214	  (0, 0)	0.646060370549	
genePA##,,group_11680	0.00153920932937	0.0178393834561	  (0, 0)	1.44834968227	  (0, 0)	0.473591508556
genePA##PA14_22670,yrbF,mkl	0.00152907035735	0.017197272545	  (0, 0)	1.44834968227	  (0, 0)	0.473591508556
genePA##,,group_6414	0.00152039079353	0.022471089804	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_21846	0.00151937076763	0.0183517750198	  (0, 0)	1.39174164949	  (0, 0)	0.242432119471
genePA##,,group_11684	0.00149747496525	0.0169854045029	  (0, 0)	1.46165380215	  (0, 0)	0.519886606374
genePA##,,group_21794	0.00148839833911	0.0168411172601	  (0, 0)	1.48272997986	  (0, 0)	0.471879984084
genePA##,,group_21827	0.00148763526068	0.0189452229792	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_13789	0.00148368462652	0.020505656456	  (0, 0)	1.50309633395	  (0, 0)	0.178303906118
genePA##,,group_21793	0.00147257212446	0.0179530840717	  (0, 0)	1.48272997986	  (0, 0)	0.471879984084
genePA##PA14_62420,,group_3219	0.00147002997147	0.0146533643654	  (0, 0)	0.780268641658	  (0, 0)	2.42356421309
genePA##,,group_13821	0.00143298185521	0.0165306666017	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_209	0.00141284311007	0.0205874394979	  (0, 0)	1.56598880519	  (0, 0)	0.679045525278
genePA##,,group_16413	0.00140473306658	0.0171865421216	  (0, 0)	1.30729580558	  (0, 0)	0.116366835039
genePA##,,group_21941	0.00139997410537	0.0184734810918	  (0, 0)	1.38034628139	  (0, 0)	0.135667643974
genePA##,,group_6814	0.00136133070309	0.0180291757931	  (0, 0)	1.17764883496	  (0, 0)	0.143810029844
genePA##,,group_286	0.0013574960355	0.0185498768301	  (0, 0)	1.36368050109	  (0, 0)	0.0976183597735
genePA##,,group_4525	0.00134648389862	0.0213473850941	  (0, 0)	1.53360759929	  (0, 0)	0.153676581561
genePA##,,group_13792	0.00132907675573	0.0187058395124	  (0, 0)	1.46307294964	  (0, 0)	0.471879984084
genePA##,,group_1878	0.00132525967558	0.0169386794021	  (0, 0)	1.35192975935	  (0, 0)	0.320998084019
genePA##,,group_21791	0.00132476142844	0.0152670158631	  (0, 0)	1.48810789105	  (0, 0)	0.454691495185
genePA##,,group_21970	0.00131724804666	0.0173579488922	  (0, 0)	1.36862872949	  (0, 0)	0.179515104363
genePA##,,group_16672	0.00131551475234	0.0202836194352	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
