feature	score	std	#I-out-of-234	#O-out-of-148
genePA##PA14_68420,,group_8166	0.00196698868358	0.0147905599466	  (0, 0)	1.24400044245	  (0, 0)	1.36642559234
genePA##PA14_51120,,acrC_3	0.000974426430417	0.00995268057832	  (0, 0)	1.51353521358	  (0, 0)	1.34374113791
genePA##PA14_08120,,group_2755	0.000970114172018	0.0103849323404	  (0, 0)	1.99004655677	  (0, 0)	0.922257338688
genePA##PA14_08210,,group_7827	0.000967342081678	0.00977856974079	  (0, 0)	1.15498814648	  (0, 0)	1.35939104929
genePA##PA14_51830,,dps2	0.000964794732866	0.00895329130361	  (0, 0)	1.34047723319	  (0, 0)	1.29174501119
genePA##,,group_7079	0.000963406306195	0.00800451898377	  (0, 0)	2.02142172911	  (0, 0)	0.934641010203
genePA##,,group_13821	0.000961272300472	0.0106606892326	  (0, 0)	1.56555475793	  (0, 0)	0.063771628504
genePA##,,group_21829	0.000923621856794	0.0112127321945	  (0, 0)	1.55728929936	  (0, 0)	0.0462105116602
genePA##,,group_5801	0.000918553481262	0.00823292375193	  (0, 0)	0.873510887443	  (0, 0)	1.06248499132
genePA##,,group_3296	0.000912677674976	0.00767392002285	  (0, 0)	1.80000112278	  (0, 0)	0.575383551588
genePA##,,oprD_10	0.000912232346723	0.00685186443988	  (0, 0)	1.8577334458	  (0, 0)	0.553171919586
genePA##,,group_16057	0.000911204318354	0.00894986870934	  (0, 0)	1.99797235002	  (0, 0)	1.00801876574
genePA##,,group_7404	0.000910607986441	0.00640529826006	  (0, 0)	0.781655216003	  (0, 0)	0.132026991355
genePA##,,pglF_2	0.000901347017051	0.0100811385101	  (0, 0)	1.99574813514	  (0, 0)	0.840437676902
genePA##,,group_895	0.000895362719138	0.00941963157859	  (0, 0)	1.70659280869	  (0, 0)	0.104691747224
genePA##PA14_08230,,group_15464	0.000887120698442	0.00904295037018	  (0, 0)	1.13089313584	  (0, 0)	1.343893008
genePA##,,acrC_1	0.000881847457311	0.00855603559034	  (0, 0)	1.9723036463	  (0, 0)	0.828890096795
genePA##,,group_4175	0.00087983324944	0.0102944612216	  (0, 0)	1.74911600473	  (0, 0)	0.0756654315635
genePA##,,group_21871	0.000864485034884	0.00980366333057	  (0, 0)	1.56675504783	  (0, 0)	0.092330940294
genePA##,,group_6414	0.000864428166562	0.0111678618176	  (0, 0)	1.57158422185	  (0, 0)	0.063771628504
genePA##,,group_5350	0.000860476406751	0.0106433055783	  (0, 0)	1.78509500015	  (0, 0)	0.186975406978
genePA##,,group_704	0.000860189844232	0.00600103759746	  (0, 0)	1.45191618966	  (0, 0)	0.746515139779
genePA##,,lmrA	0.000855175149395	0.00815658620875	  (0, 0)	1.07655337795	  (0, 0)	1.09121238725
genePA##PA14_66100,,group_5734	0.000851777956265	0.00808439070117	  (0, 0)	0.76475902708	  (0, 0)	1.27118908801
genePA##,,group_13843	0.000849959590156	0.00879725076966	  (0, 0)	1.94675796066	  (0, 0)	0.382178065194
genePA##,,group_2550	0.000837557937196	0.00725702121087	  (0, 0)	1.33549947563	  (0, 0)	0.703154199748
genePA##,,group_13792	0.000837025202459	0.00936927502612	  (0, 0)	1.77935512313	  (0, 0)	0.15673564274
genePA##,,group_7170	0.000836615451292	0.00897374659771	  (0, 0)	1.57158422185	  (0, 0)	0.063771628504
genePA##PA14_08050,,group_6766	0.000826850343019	0.00804830193942	  (0, 0)	1.99303286761	  (0, 0)	0.929291330664
genePA##,,cnrA	0.000819217110995	0.00956451358412	  (0, 0)	1.77935512313	  (0, 0)	0.15673564274
genePA##,,ptlE	0.000816669688467	0.00925552496338	  (0, 0)	1.79254666674	  (0, 0)	0.156172349047
genePA##PA14_22470,,yhaJ_4	0.000816643235878	0.00893039540736	  (0, 0)	1.55609204196	  (0, 0)	0.0635081851519
genePA##,,group_9984	0.000815210251855	0.0100247333959	  (0, 0)	1.56555475793	  (0, 0)	0.063771628504
genePA##PA14_67220,,clsA	0.000809396154623	0.0086288642572	  (0, 0)	1.38286415846	  (0, 0)	1.29189098004
genePA##,,hscC	0.000795827459548	0.00797126926148	  (0, 0)	0.881045962207	  (0, 0)	0.0682224337138
genePA##,,group_11703	0.00079503930749	0.0088896155187	  (0, 0)	1.58431210912	  (0, 0)	0.0635081851519
genePA##,,group_17504	0.000785237310451	0.00805703235199	  (0, 0)	1.42821352151	  (0, 0)	0.10983757115
genePA##,,group_21794	0.000783006710393	0.00915477970132	  (0, 0)	1.79901215336	  (0, 0)	0.15673564274
genePA##,,group_15466	0.000774590128583	0.00755423457317	  (0, 0)	0.473833160934	  (0, 0)	0.958818110979
genePA##,,group_6672	0.00076998010787	0.00598381431154	  (0, 0)	1.45547989465	  (0, 0)	1.13244151393
genePA##PA14_33320,,csy2	0.000768182278581	0.00697237840907	  (0, 0)	0.87459097461	  (0, 0)	1.03238525703
genePA##,,group_22317	0.00076656182344	0.0103236074545	  (0, 0)	1.49472090307	  (0, 0)	0.0988341025967
genePA##,,group_21833	0.000763391550081	0.00887337150067	  (0, 0)	1.54327357316	  (0, 0)	0.046419629804
genePA##,,group_17502	0.000757462376536	0.00819383121374	  (0, 0)	1.42821352151	  (0, 0)	0.10983757115
genePA##,,group_16670	0.000756469578523	0.00887431750001	  (0, 0)	1.55728929936	  (0, 0)	0.0462105116602
genePA##PA14_14360,,group_9700	0.000752151268134	0.00879920530112	  (0, 0)	1.512958218	  (0, 0)	1.30716271773
genePA##,,group_16672	0.000746608345698	0.00891893748613	  (0, 0)	1.55728929936	  (0, 0)	0.0462105116602
genePA##PA14_08140,XR2,group_10754	0.000742683124089	0.00837969402256	  (0, 0)	1.99303286761	  (0, 0)	0.929291330664
genePA##PA14_28010,,group_4481	0.000742403522721	0.00618412984725	  (0, 0)	1.95065413994	  (0, 0)	0.9359640733
genePA##PA14_58910,,soj_3	0.000741468945816	0.0103680948851	  (0, 0)	1.57158422185	  (0, 0)	0.063771628504
genePA##,,group_13794	0.00073922083453	0.00781532070246	  (0, 0)	1.75939762779	  (0, 0)	0.174379571046
genePA##,,group_11492	0.000732071244844	0.00864844596983	  (0, 0)	0.177745553526	  (0, 0)	0.776066690028
genePA##,,group_8408	0.000729746891386	0.00857052821703	  (0, 0)	1.52323123777	  (0, 0)	0.128350391582
genePA##,,group_2233	0.000723715871541	0.00905613385169	  (0, 0)	1.56555475793	  (0, 0)	0.063771628504
genePA##,,group_1510	0.00071864913133	0.00982375736383	  (0, 0)	1.74236597328	  (0, 0)	0.0959805881942
genePA##,,group_6204	0.000715599999447	0.00945744636902	  (0, 0)	1.55728929936	  (0, 0)	0.0462105116602
genePA##PA14_66160,,group_7671	0.000715202941219	0.00778260242532	  (0, 0)	0.757339727181	  (0, 0)	1.24967858576
genePA##PA14_49540,,group_5117	0.000709133965059	0.00619096082488	  (0, 0)	1.210523122	  (0, 0)	1.06143098855
genePA##,,group_11679	0.000708706426544	0.00840409673526	  (0, 0)	1.77221977843	  (0, 0)	0.157877901881
