feature	score	std	#I-out-of-234	#O-out-of-148
geneexp##PA14_38395	0.00629757433484	0.0324631618986	  (0, 0)	1315.27745467	  (0, 0)	654.923714736
geneexp##PA14_39540	0.0011147909719	0.010234503221	  (0, 0)	739.149182163	  (0, 0)	356.56666218
geneexp##PA14_32790	0.00109640808278	0.00902468414742	  (0, 0)	1767.79685495	  (0, 0)	1013.24540457
geneexp##PA14_62270,phuW	0.00108347775862	0.00914721152573	  (0, 0)	1409.16638006	  (0, 0)	860.643419639
geneexp##PA14_30900,trbJ	0.00108028051041	0.00993206696358	  (0, 0)	543.866830802	  (0, 0)	212.815331377
geneexp##PA14_23420	0.00106832457867	0.00961439029243	  (0, 0)	328.82154595	  (0, 0)	355.764693899
geneexp##PA14_67180	0.001052281559	0.00891171819545	  (0, 0)	1525.40980813	  (0, 0)	915.614963213
geneexp##PA14_08220	0.00104886008082	0.0102302570149	  (0, 0)	719.217030745	  (0, 0)	633.281919655
geneexp##PA14_33000,gcvP2	0.00102973170198	0.00893053776945	  (0, 0)	1791.04017754	  (0, 0)	1053.69763754
geneexp##PA14_55060	0.00102155749152	0.00835529622566	  (0, 0)	738.950111478	  (0, 0)	356.705514393
geneexp##PA14_48880,intT	0.00101483512118	0.0085299979334	  (0, 0)	294.704359246	  (0, 0)	313.241114158
geneexp##PA14_55410	0.00100139904073	0.0104940787673	  (0, 0)	633.517505419	  (0, 0)	294.178805242
geneexp##PA14_49040	0.00099934456808	0.00873912597852	  (0, 0)	1110.46238758	  (0, 0)	737.230936212
geneexp##PA14_16630	0.00099367809599	0.00924695534859	  (0, 0)	1838.52492797	  (0, 0)	1068.09210654
geneexp##PA14_60290,pilW	0.000993235406808	0.00901306906961	  (0, 0)	974.475823857	  (0, 0)	683.849582762
geneexp##PA14_05540,mexB	0.000972827858989	0.0069342833135	  (0, 0)	1935.46525857	  (0, 0)	1200.13727028
geneexp##PA14_42780	0.000955374055388	0.00915283660284	  (0, 0)	1187.10267396	  (0, 0)	779.614123196
geneexp##PA14_30960,traG	0.000947018047153	0.00879070051609	  (0, 0)	624.094052067	  (0, 0)	255.552174505
geneexp##PA14_16110	0.000942834255334	0.00908554755378	  (0, 0)	1172.90244537	  (0, 0)	668.228725567
geneexp##PA14_22080	0.000941811877512	0.00986515174355	  (0, 0)	413.311799825	  (0, 0)	59.7779204981
geneexp##PA14_26330	0.000931488756422	0.00781139126239	  (0, 0)	984.053797401	  (0, 0)	664.029464658
geneexp##PA14_30870,trbF	0.00092989878077	0.0101323114961	  (0, 0)	408.17478985	  (0, 0)	148.166780207
geneexp##PA14_05530,mexA	0.000925573535327	0.00752652125653	  (0, 0)	1748.14933	  (0, 0)	1088.79299876
geneexp##PA14_05550,oprM	0.000924772072029	0.00671664715653	  (0, 0)	1857.11101465	  (0, 0)	1158.6594698
geneexp##PA14_18970,pldA	0.000911570244435	0.00848381587041	  (0, 0)	894.290727068	  (0, 0)	378.168711619
geneexp##PA14_21670	0.000908961578488	0.00884830649405	  (0, 0)	887.32255206	  (0, 0)	472.722209777
geneexp##PA14_30910,trbE	0.000905039597131	0.00904692637049	  (0, 0)	666.431127949	  (0, 0)	286.08095579
geneexp##PA14_00510	0.000899975209499	0.00828695638098	  (0, 0)	1560.11225383	  (0, 0)	935.140895574
geneexp##PA14_02370	0.000889539105136	0.00804423165204	  (0, 0)	745.491695598	  (0, 0)	556.499385457
geneexp##PA14_44311	0.000864633489168	0.00775214086792	  (0, 0)	1209.55618014	  (0, 0)	708.153739704
geneexp##PA14_46070,gbuA	0.000861051212415	0.00758574044068	  (0, 0)	1060.61754559	  (0, 0)	603.901291831
geneexp##PA14_48910	0.000860394841978	0.00945035985203	  (0, 0)	347.898582713	  (0, 0)	383.599660065
geneexp##PA14_66330,msrA	0.000856600587374	0.00877387927769	  (0, 0)	1813.77839038	  (0, 0)	1121.1173154
geneexp##PA14_23460,orfN	0.000849028228209	0.00751830179848	  (0, 0)	1067.13649914	  (0, 0)	613.859940438
geneexp##PA14_58750,pilB	0.000836801817718	0.00757430076272	  (0, 0)	1859.71973824	  (0, 0)	1221.4420117
