feature	score	std	#I-out-of-206	#O-out-of-147
geneexp##PA14_10790,ampC	0.00985551803319	0.0359847368505	  (0, 0)	1366.13802828	  (0, 0)	711.696493043
geneexp##PA14_01030	0.000823226462288	0.00722255354289	  (0, 0)	1443.43142874	  (0, 0)	951.293932059
geneexp##PA14_54230	0.000814149471559	0.0077178650644	  (0, 0)	887.839853373	  (0, 0)	677.395442893
geneexp##PA14_48990	0.000814031814219	0.00921021388888	  (0, 0)	168.744607079	  (0, 0)	225.650685977
geneexp##PA14_08000	0.000798311590831	0.00734418104406	  (0, 0)	902.54100203	  (0, 0)	505.84359379
geneexp##PA14_41290	0.000793393737741	0.00748856802534	  (0, 0)	584.981660113	  (0, 0)	310.919346579
geneexp##PA14_18720,motY	0.00079294031047	0.00791277921466	  (0, 0)	1021.84502951	  (0, 0)	767.543000421
geneexp##PA14_33680,fpvA	0.000791732137804	0.0084106262074	  (0, 0)	492.97431698	  (0, 0)	507.723839784
geneexp##PA14_72220	0.000787472247825	0.00860326858886	  (0, 0)	1082.14290095	  (0, 0)	808.327206052
geneexp##PA14_66970,tatB	0.000787306864872	0.00880343266839	  (0, 0)	1360.12494754	  (0, 0)	1005.22031108
geneexp##PA14_46080	0.000786543664864	0.00701510298176	  (0, 0)	781.736631446	  (0, 0)	522.493042062
geneexp##PA14_58750,pilB	0.000767543623989	0.00795974990015	  (0, 0)	1640.45369139	  (0, 0)	1220.92170226
geneexp##PA14_66630,pilP	0.000764659664938	0.00754393018674	  (0, 0)	1365.33290747	  (0, 0)	1017.70311486
geneexp##PA14_60270	0.000761082211527	0.00875985856271	  (0, 0)	1234.55501123	  (0, 0)	927.390949586
geneexp##PA14_60030	0.000760224170456	0.00639554263905	  (0, 0)	814.736354034	  (0, 0)	679.98780048
geneexp##PA14_68370,cysQ	0.000759387403481	0.00747734883807	  (0, 0)	1063.72497067	  (0, 0)	746.864578087
geneexp##PA14_01290,coxB	0.000759129004306	0.00717652244645	  (0, 0)	1073.61327393	  (0, 0)	723.147129197
geneexp##PA14_53490	0.000755353405163	0.00842436984099	  (0, 0)	1125.78722998	  (0, 0)	834.613472832
geneexp##PA14_08130,gpU	0.000751576126345	0.00638975803002	  (0, 0)	856.395441303	  (0, 0)	470.912423125
geneexp##PA14_67860	0.000750168820719	0.00778289384302	  (0, 0)	889.125842067	  (0, 0)	687.193054104
geneexp##PA14_01070	0.000749248133266	0.00751172720141	  (0, 0)	1128.44173966	  (0, 0)	745.198596184
geneexp##PA14_01080	0.000745816024536	0.0075343566073	  (0, 0)	1191.63848774	  (0, 0)	773.826672683
geneexp##PA14_29750	0.000745324129387	0.00710130845524	  (0, 0)	614.864406296	  (0, 0)	368.481325501
geneexp##PA14_46490,fabF2	0.000742585160439	0.00669678897474	  (0, 0)	892.962723405	  (0, 0)	661.882480613
