feature	score	std	#I-out-of-20	#O-out-of-334
geneexp##PA14_63120	0.0177404692063	0.0840791490328	  (0, 0)	145.693698119	  (0, 0)	1359.97741735
geneexp##PA14_09350,fptB	0.00105495948934	0.0125559341756	  (0, 0)	62.8716218664	  (0, 0)	750.474787897
geneexp##PA14_29050	0.00103510010013	0.0117140857046	  (0, 0)	81.0051570845	  (0, 0)	1424.39440816
geneexp##PA14_19360	0.00103471149995	0.0121036963002	  (0, 0)	125.211129808	  (0, 0)	2011.05740566
geneexp##PA14_38680	0.000996102470434	0.0125646648307	  (0, 0)	77.5474778284	  (0, 0)	1216.40712523
geneexp##PA14_29070	0.000993807803927	0.0118741368156	  (0, 0)	67.7005181778	  (0, 0)	1198.47046804
geneexp##PA14_46880	0.000985263329907	0.0118325826676	  (0, 0)	80.2566299173	  (0, 0)	1346.44691662
geneexp##PA14_36460	0.000971650813447	0.0111713753738	  (0, 0)	75.9843013625	  (0, 0)	1135.83034037
geneexp##PA14_45260	0.000955224997892	0.0133378070268	  (0, 0)	88.9302379214	  (0, 0)	1397.89829714
geneexp##PA14_20730,flgM	0.000940327313746	0.0109941633382	  (0, 0)	139.834349153	  (0, 0)	2455.5439391
geneexp##PA14_61210,hprA	0.000933256199976	0.0119444169348	  (0, 0)	92.3607138988	  (0, 0)	1574.75608783
geneexp##PA14_21830	0.000929574874024	0.0133018367676	  (0, 0)	86.4169062777	  (0, 0)	1367.55476545
geneexp##PA14_05460,bioA	0.000927697975171	0.0103911381065	  (0, 0)	131.20748579	  (0, 0)	2220.39777175
geneexp##PA14_07210	0.000921546760267	0.0108764955946	  (0, 0)	129.986741011	  (0, 0)	2202.40969007
geneexp##PA14_13470	0.000914323580232	0.0126850815331	  (0, 0)	114.699997751	  (0, 0)	1820.09875928
geneexp##PA14_33500,pvdH	0.000913338855142	0.0116825152025	  (0, 0)	47.7683474929	  (0, 0)	988.53343252
geneexp##PA14_34030	0.0009118712152	0.0124730953433	  (0, 0)	78.6785576386	  (0, 0)	1594.89689751
geneexp##PA14_02270	0.000908343666479	0.0125926632994	  (0, 0)	107.653388456	  (0, 0)	1868.89842318
geneexp##PA14_28880	0.000907609305796	0.00974915323039	  (0, 0)	99.9786355337	  (0, 0)	1729.43038679
geneexp##PA14_57610	0.000906535978959	0.0147113176471	  (0, 0)	106.003520725	  (0, 0)	1798.96104676
geneexp##PA14_46700,ybiF	0.000904421845845	0.0112586500723	  (0, 0)	70.1084126521	  (0, 0)	1175.74461953
geneexp##PA14_28910	0.000903441450753	0.0108910489309	  (0, 0)	77.5897102512	  (0, 0)	1358.08411963
geneexp##PA14_53020,pbpG	0.000895716520603	0.0129503846662	  (0, 0)	127.14494717	  (0, 0)	2089.35259447
geneexp##PA14_08000	0.000895241839559	0.0103980828876	  (0, 0)	101.69422899	  (0, 0)	1239.65645671
geneexp##PA14_51160	0.000891250005202	0.0098500493888	  (0, 0)	61.8673528194	  (0, 0)	1107.62461472
geneexp##PA14_48730	0.000889172871159	0.0125210336931	  (0, 0)	103.110372456	  (0, 0)	1844.53354935
