feature	score	std	#I-out-of-135	#O-out-of-277
geneexp##PA14_15470,merP	0.0140951921259	0.0619988902434	  (0, 0)	592.17199503	  (0, 0)	394.764325556
geneexp##PA14_22110	0.00388392949592	0.0280048745012	  (0, 0)	285.668656215	  (0, 0)	82.4886114885
geneexp##PA14_27990	0.00387606838475	0.0254874017539	  (0, 0)	178.683906866	  (0, 0)	1234.87730665
geneexp##PA14_22140	0.00386264875172	0.0269129048169	  (0, 0)	279.086451096	  (0, 0)	81.9553900142
geneexp##PA14_38410,amrB	0.00380269093745	0.0223362328337	  (0, 0)	951.448505749	  (0, 0)	1578.76324282
geneexp##PA14_08200	0.00371615607372	0.0230407786869	  (0, 0)	210.111427857	  (0, 0)	1133.0979558
geneexp##PA14_36000,prpR	0.00367129614452	0.0233750679263	  (0, 0)	712.184874947	  (0, 0)	1070.47876571
geneexp##PA14_52000	0.00344427785525	0.0268820424475	  (0, 0)	626.855358944	  (0, 0)	1432.80332937
geneexp##PA14_22160	0.00340452251059	0.0258275184222	  (0, 0)	179.348849235	  (0, 0)	53.7556586918
geneexp##PA14_22190	0.0033620427836	0.0267651900934	  (0, 0)	320.759206394	  (0, 0)	94.6593022318
geneexp##PA14_08400	0.00334595147001	0.020862098067	  (0, 0)	868.690559555	  (0, 0)	1944.61542795
geneexp##PA14_41280	0.00327089827808	0.023660760168	  (0, 0)	806.164226398	  (0, 0)	1278.73280204
geneexp##PA14_22130	0.00322671106661	0.0271098558184	  (0, 0)	227.714473453	  (0, 0)	61.2086395663
geneexp##PA14_01140	0.00315764794593	0.0220022852514	  (0, 0)	764.515583329	  (0, 0)	1262.46645149
geneexp##PA14_08250	0.00305815328645	0.0238145927272	  (0, 0)	122.067468871	  (0, 0)	777.18117041
geneexp##PA14_22250	0.00298306852772	0.0249219998496	  (0, 0)	247.592022295	  (0, 0)	64.6233307158
geneexp##PA14_22240	0.00287020013459	0.0237330028345	  (0, 0)	253.521565556	  (0, 0)	73.2170031257
geneexp##PA14_53620	0.002834996545	0.0214315234745	  (0, 0)	160.329937137	  (0, 0)	870.238563934
geneexp##PA14_10130	0.00282804951555	0.022755646321	  (0, 0)	254.774990193	  (0, 0)	907.377149192
geneexp##PA14_44420,fixG	0.00270329182277	0.0197043530258	  (0, 0)	1025.08873833	  (0, 0)	2231.60407311
geneexp##PA14_22230	0.00267771799595	0.0233241607604	  (0, 0)	275.943643965	  (0, 0)	66.4563851185
geneexp##PA14_22180	0.00266678751768	0.0220765970337	  (0, 0)	195.101368525	  (0, 0)	49.4911281999
geneexp##PA14_22260	0.00250070907745	0.0228016624983	  (0, 0)	217.149179435	  (0, 0)	58.8291683471
geneexp##PA14_08280	0.00246577379594	0.0218656273685	  (0, 0)	238.6345844	  (0, 0)	1034.74671428
geneexp##PA14_49520,pyoS3A	0.00240035719265	0.0198406235709	  (0, 0)	775.242357934	  (0, 0)	1178.52977478
geneexp##PA14_22220	0.00239587212181	0.0213386400765	  (0, 0)	256.263988637	  (0, 0)	61.5340745336
geneexp##PA14_22120	0.00234276863187	0.0224396634761	  (0, 0)	332.731338585	  (0, 0)	109.084151178
geneexp##PA14_67200	0.00233858550927	0.0169290303695	  (0, 0)	782.916046286	  (0, 0)	1375.5561487
geneexp##PA14_08270	0.00232784020818	0.0188930592556	  (0, 0)	371.027941915	  (0, 0)	1102.03710506
geneexp##PA14_05360,pilJ	0.00227621149812	0.0202658408921	  (0, 0)	1036.03496753	  (0, 0)	2242.57603243
geneexp##PA14_38380,amrR	0.00226781954075	0.0149323115775	  (0, 0)	815.441351276	  (0, 0)	1458.36699242
geneexp##PA14_31260	0.00220718192674	0.0169437263158	  (0, 0)	252.259314066	  (0, 0)	191.255783357
geneexp##PA14_55410	0.00214206684957	0.0175161291155	  (0, 0)	427.968794618	  (0, 0)	528.408833541
geneexp##PA14_22100	0.00212625374204	0.0194350991171	  (0, 0)	257.526649895	  (0, 0)	63.9510807688
geneexp##PA14_58690	0.00212530449837	0.0187625938324	  (0, 0)	899.644489429	  (0, 0)	1982.09399053
geneexp##PA14_17510	0.00210061758847	0.0194111314528	  (0, 0)	740.933014352	  (0, 0)	1367.0550464
geneexp##PA14_15080	0.00209753319369	0.0177462974329	  (0, 0)	706.258672514	  (0, 0)	1608.84453201
geneexp##PA14_08260	0.00207468638923	0.0190280614462	  (0, 0)	188.222716011	  (0, 0)	846.62494589
geneexp##PA14_49510,pyoS3I	0.00207265215312	0.0188234300591	  (0, 0)	475.054876217	  (0, 0)	272.288796158
geneexp##PA14_24410	0.00204229020145	0.0174368850774	  (0, 0)	387.477733307	  (0, 0)	1004.89144363
geneexp##PA14_53630	0.00203175864037	0.0186704769763	  (0, 0)	104.07186346	  (0, 0)	516.453929128
geneexp##PA14_50340,flgL	0.00199696664754	0.0167011855672	  (0, 0)	776.857553958	  (0, 0)	1807.99413444
geneexp##PA14_55110	0.00198128007963	0.0187387428791	  (0, 0)	765.316201514	  (0, 0)	1803.36243892
geneexp##PA14_08230	0.00193228906444	0.0152102913554	  (0, 0)	235.573212502	  (0, 0)	829.115312135
geneexp##PA14_10840	0.00190067482022	0.0167030121991	  (0, 0)	388.957042132	  (0, 0)	351.54622175
geneexp##PA14_60270	0.00187838882468	0.0169717332343	  (0, 0)	778.573572231	  (0, 0)	1740.10173594
geneexp##PA14_03300	0.0018733883454	0.0152208958552	  (0, 0)	739.179494174	  (0, 0)	1210.60845352
geneexp##PA14_03290	0.0018611272249	0.0148938617885	  (0, 0)	863.354052412	  (0, 0)	1471.4241996
geneexp##PA14_51620	0.00185575109256	0.0148765525222	  (0, 0)	850.376674653	  (0, 0)	1400.13232561
geneexp##PA14_41290	0.00185024258373	0.0136255617907	  (0, 0)	426.551657577	  (0, 0)	576.785833205
geneexp##PA14_08330	0.00183076659356	0.015667837461	  (0, 0)	165.529545958	  (0, 0)	782.146716462
geneexp##PA14_59620	0.00177833531761	0.0184738084214	  (0, 0)	349.074547762	  (0, 0)	230.665811823
geneexp##PA14_33650,pvdD	0.00173996899428	0.0147151051223	  (0, 0)	508.50544085	  (0, 0)	1349.4668265
geneexp##PA14_44430	0.00173142043181	0.013858591301	  (0, 0)	816.539417342	  (0, 0)	1802.80051857
geneexp##PA14_24390	0.00166496107268	0.0164253034767	  (0, 0)	693.566925472	  (0, 0)	1530.06602131
geneexp##PA14_28820	0.00166463914997	0.0153742153632	  (0, 0)	266.648732302	  (0, 0)	271.967393415
geneexp##PA14_53660	0.00161793313523	0.015039493877	  (0, 0)	264.433861348	  (0, 0)	1088.45413108
geneexp##PA14_13890	0.00160137626471	0.0127132259234	  (0, 0)	33.5072637449	  (0, 0)	393.088787064
geneexp##PA14_66650,pilN	0.00159195437907	0.0131136075626	  (0, 0)	861.941867464	  (0, 0)	1885.58898474
geneexp##PA14_33120	0.00157034835632	0.0156565947271	  (0, 0)	645.033921749	  (0, 0)	1460.02367802
geneexp##PA14_50380,flgJ	0.00155920523513	0.0156613638707	  (0, 0)	830.906146605	  (0, 0)	1830.97523342
geneexp##PA14_08220	0.00155688929184	0.0159088455971	  (0, 0)	383.940893372	  (0, 0)	1135.36818995
geneexp##PA14_13870	0.00152185987179	0.0121494732325	  (0, 0)	103.116649872	  (0, 0)	594.704085984
geneexp##PA14_58760,pilC	0.00150374800631	0.013765177344	  (0, 0)	814.521685231	  (0, 0)	1863.71688238
geneexp##PA14_07460	0.00149598744303	0.0119097791481	  (0, 0)	554.202986421	  (0, 0)	930.667097105
geneexp##PA14_59610	0.00148767292204	0.0156928035499	  (0, 0)	332.891430359	  (0, 0)	209.063589206
geneexp##PA14_29330	0.00148695763031	0.0151559576271	  (0, 0)	493.5860855	  (0, 0)	345.859157021
geneexp##PA14_33800	0.00148394890953	0.0158203136437	  (0, 0)	396.02032572	  (0, 0)	1025.12056033
geneexp##PA14_51630	0.00148313838142	0.0129489330692	  (0, 0)	725.448307225	  (0, 0)	1163.74167294
geneexp##PA14_31270	0.00144518195803	0.0123601988693	  (0, 0)	197.901714764	  (0, 0)	216.376864883
geneexp##PA14_69870,pCHP	0.00142541492111	0.0125450718227	  (0, 0)	802.606994668	  (0, 0)	1590.06310975
geneexp##PA14_66630,pilP	0.00141173183876	0.01313941684	  (0, 0)	860.93140919	  (0, 0)	1916.66534256
geneexp##PA14_08300,JF1	0.00137325427778	0.0130824519094	  (0, 0)	523.884816972	  (0, 0)	1352.17223299
geneexp##PA14_03320	0.00136350841393	0.0121433709873	  (0, 0)	274.053288027	  (0, 0)	297.775656701
geneexp##PA14_03340	0.00136193664045	0.0117844897732	  (0, 0)	220.59099511	  (0, 0)	250.829641972
geneexp##PA14_50300	0.00134762108123	0.0125647040081	  (0, 0)	679.259811011	  (0, 0)	1651.20024333
geneexp##PA14_29750	0.00134543839667	0.0109056642548	  (0, 0)	450.223505795	  (0, 0)	679.253102386
geneexp##PA14_67220	0.00134226284297	0.0106876179008	  (0, 0)	740.383857086	  (0, 0)	1575.44936968
