feature	score	std	#I-out-of-20	#O-out-of-334
geneexp##PA14_63220	0.018336326209	0.0868555996832	  (0, 0)	104.775708173	  (0, 0)	866.239441515
geneexp##PA14_47890	0.00205873122638	0.0208273673426	  (0, 0)	121.50948296	  (0, 0)	2093.07089934
geneexp##PA14_03980	0.00199556647576	0.0168326451993	  (0, 0)	104.488573395	  (0, 0)	1737.47113367
geneexp##PA14_32530	0.0018668154143	0.0163210881069	  (0, 0)	112.780953643	  (0, 0)	1840.38930442
geneexp##PA14_43910	0.00186444279059	0.0168215356651	  (0, 0)	63.4532883322	  (0, 0)	1108.72075527
geneexp##PA14_31920,opmB	0.00185753855222	0.0177912504688	  (0, 0)	116.651072829	  (0, 0)	1821.42627133
geneexp##PA14_05220	0.0018375778789	0.016324951832	  (0, 0)	113.097262452	  (0, 0)	2000.62072987
geneexp##PA14_51390,pqsD	0.00180109923464	0.0159062574069	  (0, 0)	81.7594019993	  (0, 0)	1847.83945384
geneexp##PA14_59830	0.00172455981405	0.0183978643894	  (0, 0)	67.9344920134	  (0, 0)	1602.0985321
geneexp##PA14_47640	0.00171238717181	0.0165965939087	  (0, 0)	80.0511746079	  (0, 0)	1290.77404474
geneexp##PA14_45020,glxR	0.00170515793147	0.0162681751206	  (0, 0)	67.3334336403	  (0, 0)	1174.52938767
geneexp##PA14_29100	0.00158848620727	0.0163077596934	  (0, 0)	76.7990497201	  (0, 0)	1404.9359294
geneexp##PA14_29230	0.00157445165755	0.0172304429806	  (0, 0)	80.91236135	  (0, 0)	1515.21617267
geneexp##PA14_31870	0.00157073973902	0.0160523259106	  (0, 0)	119.245828936	  (0, 0)	1843.80451377
geneexp##PA14_71570	0.00155429415476	0.01725829907	  (0, 0)	129.22479163	  (0, 0)	2080.36573585
geneexp##PA14_56690,feoA	0.00154882239528	0.0215135683455	  (0, 0)	106.131931476	  (0, 0)	1521.69056504
geneexp##PA14_56680,feoB	0.00151608000307	0.0176212301453	  (0, 0)	133.436519335	  (0, 0)	1994.23535906
geneexp##PA14_06450,accC	0.00147758215565	0.0142042330347	  (0, 0)	70.4309513711	  (0, 0)	1240.40960493
geneexp##PA14_68120,opmG	0.00143833114213	0.0169769218334	  (0, 0)	80.6240705652	  (0, 0)	1384.97070729
geneexp##PA14_28830	0.00142684571324	0.0141840607285	  (0, 0)	39.0327326183	  (0, 0)	311.003385793
geneexp##PA14_20720,flgN	0.0014213178051	0.0159180710906	  (0, 0)	135.048389725	  (0, 0)	2352.31029028
geneexp##PA14_54480	0.00135781442469	0.0143046277284	  (0, 0)	118.418433041	  (0, 0)	2004.99977671
geneexp##PA14_13420	0.00135364502231	0.017388874839	  (0, 0)	117.268756371	  (0, 0)	1919.10896942
geneexp##PA14_28895	0.00133089089307	0.0155306004349	  (0, 0)	128.532416988	  (0, 0)	2229.20067587
geneexp##PA14_36460	0.00132214526724	0.0145803339275	  (0, 0)	75.9843013625	  (0, 0)	1135.83034037
geneexp##PA14_15110	0.00130518921849	0.0148559902039	  (0, 0)	149.170520156	  (0, 0)	2399.36494579
geneexp##PA14_04870	0.00130169706869	0.0143123652284	  (0, 0)	121.267271365	  (0, 0)	2010.74296981
geneexp##PA14_56370	0.0012995768762	0.0133497761783	  (0, 0)	143.641348251	  (0, 0)	2303.07265236
geneexp##PA14_61460,hpt	0.00128052298675	0.0116228065152	  (0, 0)	111.101726934	  (0, 0)	1844.79077118
geneexp##PA14_33500,pvdH	0.00126031093395	0.0150521747617	  (0, 0)	47.7683474929	  (0, 0)	988.53343252
geneexp##PA14_70310	0.00125128176204	0.0154590274204	  (0, 0)	58.7414181942	  (0, 0)	1059.96937297
geneexp##PA14_33480,sndH	0.00123518397903	0.0156398227459	  (0, 0)	71.7255903667	  (0, 0)	1315.15779083
geneexp##PA14_48100,aprE	0.00123201538351	0.013557291973	  (0, 0)	78.5206066927	  (0, 0)	1484.04705108
geneexp##PA14_63320	0.00122754890749	0.012727772052	  (0, 0)	79.1775791393	  (0, 0)	1323.51593561
geneexp##PA14_49160,yegE	0.00121273825305	0.0151093683487	  (0, 0)	116.621643359	  (0, 0)	1967.92206954
geneexp##PA14_47490	0.0012119150541	0.0167526210746	  (0, 0)	124.191435168	  (0, 0)	2035.37457036
geneexp##PA14_29120	0.00119920946387	0.0133155829324	  (0, 0)	89.1825364899	  (0, 0)	1574.31585056
geneexp##PA14_33870	0.00119795557502	0.0157700609758	  (0, 0)	107.056832771	  (0, 0)	2026.53386464
geneexp##PA14_11260	0.00117981120431	0.0155055061441	  (0, 0)	116.263857571	  (0, 0)	1975.84294184
geneexp##PA14_09550	0.00117720873468	0.0134509869509	  (0, 0)	107.106339976	  (0, 0)	1759.61317722
geneexp##PA14_15920,yhjE	0.00117487589062	0.0171932046788	  (0, 0)	60.1380687204	  (0, 0)	1023.38970479
geneexp##PA14_31900	0.00116532882636	0.013027267856	  (0, 0)	123.320888331	  (0, 0)	1929.21819553
geneexp##PA14_49340,pcpS	0.00116176731108	0.0117899679428	  (0, 0)	85.9531629518	  (0, 0)	1470.78324826
geneexp##PA14_01270	0.00114169090028	0.0107732224745	  (0, 0)	80.4333363741	  (0, 0)	1334.23917245
geneexp##PA14_30050,aceA	0.00112666569019	0.0164840971829	  (0, 0)	159.491675831	  (0, 0)	2768.27014098
geneexp##PA14_34800	0.00110998202195	0.0140269518621	  (0, 0)	77.6246556107	  (0, 0)	1594.03614381
geneexp##PA14_04330	0.00110666706137	0.0132851536065	  (0, 0)	114.174805718	  (0, 0)	1865.02578732
geneexp##PA14_33860,lldA	0.00110248695505	0.0144937408783	  (0, 0)	80.0111462857	  (0, 0)	1520.85829628
geneexp##PA14_61140	0.00108517770036	0.0132776629048	  (0, 0)	82.3308719018	  (0, 0)	1454.2038743
geneexp##PA14_09350,fptB	0.00107394605483	0.013069290544	  (0, 0)	62.8716218664	  (0, 0)	750.474787897
geneexp##PA14_46400,yqhC	0.00106904655419	0.0147239122312	  (0, 0)	44.9717159392	  (0, 0)	1003.01081325
geneexp##PA14_42090	0.00106758485384	0.0102398424389	  (0, 0)	103.359878868	  (0, 0)	1641.09397835
geneexp##PA14_52490	0.00106543956103	0.012972044408	  (0, 0)	92.7616185378	  (0, 0)	1301.01581295
geneexp##PA14_23730	0.00105958176647	0.0145353771291	  (0, 0)	76.1171226804	  (0, 0)	1302.30392292
geneexp##PA14_29440	0.00105523402954	0.0159747757115	  (0, 0)	66.6534214301	  (0, 0)	1178.47126962
geneexp##PA14_60540	0.00105155519113	0.0134047651435	  (0, 0)	73.6368719675	  (0, 0)	1198.02365017
geneexp##PA14_63310,smtA	0.00104539428723	0.0108965149229	  (0, 0)	75.7695884262	  (0, 0)	1295.97738366
geneexp##PA14_48730	0.00104345677444	0.0133101752134	  (0, 0)	103.110372456	  (0, 0)	1844.53354935
geneexp##PA14_61830	0.00103845548663	0.012043821004	  (0, 0)	70.0512974041	  (0, 0)	1150.52955972
geneexp##PA14_29110,cysK	0.00103626238884	0.010581646773	  (0, 0)	128.394497391	  (0, 0)	2295.27968818
geneexp##PA14_46960,ggt	0.00103233382954	0.0145134952327	  (0, 0)	131.173413201	  (0, 0)	2359.80002443
geneexp##PA14_58860	0.0010108237152	0.0138135631404	  (0, 0)	73.4721708194	  (0, 0)	1261.39143436
geneexp##PA14_28520	0.00100781660803	0.0137699552254	  (0, 0)	77.1307482122	  (0, 0)	1174.58722858
geneexp##PA14_52090	0.00100668227141	0.0138465204917	  (0, 0)	71.0000184174	  (0, 0)	1167.81423533
geneexp##PA14_03760	0.00100195307185	0.0127535966903	  (0, 0)	63.3795238512	  (0, 0)	1106.97323822
geneexp##PA14_66620,pilQ	0.00100084656322	0.00978595426169	  (0, 0)	151.855703861	  (0, 0)	2673.14449162
geneexp##PA14_48440	0.000991221538809	0.0102796078583	  (0, 0)	76.8757540208	  (0, 0)	1277.75265985
geneexp##PA14_42970	0.000977939378827	0.0114097605479	  (0, 0)	80.3572556616	  (0, 0)	1591.90661817
