feature	score	std	#I-out-of-293	#O-out-of-102
geneexp##PA14_46070,gbuA	0.012739764869	0.0459409141741	  (0, 0)	1351.51184304	  (0, 0)	376.593799378
geneexp##PA14_58580,piuC	0.00194020710307	0.0134747498156	  (0, 0)	1416.37516065	  (0, 0)	452.036945719
geneexp##PA14_37130	0.00193585913572	0.0127536409372	  (0, 0)	1152.43099311	  (0, 0)	407.936851842
geneexp##PA14_32720	0.00188753589866	0.0124715024677	  (0, 0)	869.216280126	  (0, 0)	263.078729716
geneexp##PA14_05550,oprM	0.00187318791342	0.0125543439491	  (0, 0)	2362.22788231	  (0, 0)	764.433462843
geneexp##PA4726.2,P30	0.00183995579912	0.0127105047361	  (0, 0)	2394.88798105	  (0, 0)	808.659091109
geneexp##PA14_34630,gnuT	0.00183184859033	0.0122523610898	  (0, 0)	1166.67674815	  (0, 0)	367.129980729
geneexp##PA14_56840	0.00176474398886	0.0117332921735	  (0, 0)	1697.25295665	  (0, 0)	552.547096079
geneexp##PA14_18670,bfrB	0.00169137649733	0.0111796418775	  (0, 0)	2498.53080057	  (0, 0)	900.99595218
geneexp##PA14_56680,feoB	0.00160084925065	0.0122533846433	  (0, 0)	1792.07245731	  (0, 0)	581.253594269
geneexp##PA14_29375	0.00159920296206	0.0113178380575	  (0, 0)	1170.36445168	  (0, 0)	375.614554215
geneexp##PA14_34660,gntR	0.00156639263811	0.0107778702877	  (0, 0)	1514.17895746	  (0, 0)	479.689337999
geneexp##PA14_34640,gntK	0.00156186937833	0.0108546187773	  (0, 0)	1213.24619069	  (0, 0)	373.485889579
geneexp##PA14_32985,gcvH2	0.00150443906257	0.0119434096707	  (0, 0)	1383.23134732	  (0, 0)	425.949115632
geneexp##PA14_09520,mexI	0.00147655153804	0.012171392234	  (0, 0)	1518.69763693	  (0, 0)	558.963993796
geneexp##PA14_58040	0.00146630788038	0.0119189979696	  (0, 0)	1099.66992348	  (0, 0)	357.048737771
geneexp##PA14_09530,mexH	0.00144283022672	0.0112443620567	  (0, 0)	1306.83820938	  (0, 0)	491.020419282
geneexp##PA14_67580,thiI	0.00136413479547	0.011021151899	  (0, 0)	1691.76671001	  (0, 0)	598.987369523
geneexp##PA14_48560	0.00133920520895	0.0125223641591	  (0, 0)	1070.16419464	  (0, 0)	423.12625621
geneexp##PA14_06180,fiuI	0.0013135723987	0.0111035342626	  (0, 0)	800.408471143	  (0, 0)	246.003937398
geneexp##PA14_32710	0.00129109432457	0.0105243672955	  (0, 0)	1129.52169557	  (0, 0)	364.987198304
geneexp##PA14_52250,pirR	0.00128189410964	0.0101899500868	  (0, 0)	1054.88583186	  (0, 0)	322.639721105
geneexp##PA14_20430,phnM	0.00125027526807	0.0089431687266	  (0, 0)	1303.12849446	  (0, 0)	465.197589297
geneexp##PA14_56990	0.001189354091	0.0106839527491	  (0, 0)	1177.1399217	  (0, 0)	436.474137899
geneexp##PA14_20200,nosZ	0.00118457368816	0.0097485092218	  (0, 0)	2342.97272858	  (0, 0)	741.963695868
geneexp##PA14_52230,pirA	0.00110966027586	0.00892481115775	  (0, 0)	1350.32459991	  (0, 0)	458.36626352
geneexp##PA14_11180	0.00109742831026	0.00986532911505	  (0, 0)	1020.66380388	  (0, 0)	368.152319306
geneexp##PA14_06840,norD	0.0010956448744	0.00946770630804	  (0, 0)	1796.42300958	  (0, 0)	556.865950437
geneexp##PA14_38160,azlC	0.00109195444481	0.00974538103304	  (0, 0)	1227.35043548	  (0, 0)	438.218149174
geneexp##PA14_62690	0.00107531104062	0.00859298967582	  (0, 0)	2734.74242493	  (0, 0)	866.454749467
geneexp##PA14_58600	0.0010710055341	0.00972201046469	  (0, 0)	1053.41976076	  (0, 0)	333.370151608
geneexp##PA14_47110,yybH	0.00104735670011	0.00888743750288	  (0, 0)	1023.70331677	  (0, 0)	368.572399061
geneexp##PA14_55580,nemO	0.00102629555944	0.00951113710244	  (0, 0)	974.008710393	  (0, 0)	299.223452307
geneexp##PA14_58560,piuB	0.00102179792312	0.00898546765605	  (0, 0)	1329.35072609	  (0, 0)	436.910218241
geneexp##PA14_52240,pirS	0.00101242610022	0.0093002631612	  (0, 0)	1331.09892717	  (0, 0)	430.650756552
geneexp##PA14_53410	0.00100182439612	0.00658100823669	  (0, 0)	1251.36746585	  (0, 0)	447.034377295
geneexp##PA14_00640,phzH	0.000997806071889	0.00910035873459	  (0, 0)	1073.63432254	  (0, 0)	417.821781897
geneexp##PA14_07450	0.000995805958264	0.00738372092955	  (0, 0)	1746.94247897	  (0, 0)	560.540617188
geneexp##PA14_33000,gcvP2	0.000982007002146	0.00915411442128	  (0, 0)	2232.76608265	  (0, 0)	707.960629385
geneexp##PA14_70160,bioA	0.000978508544501	0.00764558848886	  (0, 0)	1717.12054884	  (0, 0)	595.417852034
geneexp##PA14_32500	0.000975382070791	0.00936423621355	  (0, 0)	1611.72670367	  (0, 0)	536.699093596
geneexp##PA14_36330,hcnA	0.000973144035195	0.00921648465576	  (0, 0)	1014.27203857	  (0, 0)	425.642248674
geneexp##PA14_64710	0.000961670882847	0.00881405849797	  (0, 0)	1433.63511332	  (0, 0)	515.343095915
geneexp##PA14_46200	0.000961572950685	0.0106234764898	  (0, 0)	1183.82191326	  (0, 0)	418.722034807
geneexp##PA14_58030,fumC	0.000953388269197	0.0102715914289	  (0, 0)	1294.8085041	  (0, 0)	435.739284822
geneexp##PA14_09540,mexG	0.000944907292999	0.00909599655893	  (0, 0)	896.181531422	  (0, 0)	345.152994432
geneexp##PA14_06450,accC	0.000940425207682	0.00877816146	  (0, 0)	1062.89696072	  (0, 0)	396.006720658
geneexp##PA14_36320,hcnB	0.00094020530672	0.00742131267456	  (0, 0)	1494.69078259	  (0, 0)	555.004543956
geneexp##PA14_56670	0.000921377202261	0.00760866065068	  (0, 0)	1087.50600347	  (0, 0)	334.353467471
geneexp##PA14_36360	0.000913986093721	0.00891419230737	  (0, 0)	832.39823157	  (0, 0)	269.468935235
geneexp##PA14_56690,feoA	0.000909217318693	0.00718272194494	  (0, 0)	1365.45201585	  (0, 0)	442.833866818
geneexp##PA14_06430	0.00090719684241	0.00847688924426	  (0, 0)	750.407924248	  (0, 0)	296.006077516
geneexp##PA14_38170	0.000903749448431	0.00725272628871	  (0, 0)	1131.12495825	  (0, 0)	413.596075383
geneexp##PA14_47100,ilvA2	0.000891629582892	0.00820231324352	  (0, 0)	1166.57080868	  (0, 0)	428.233172708
geneexp##PA14_68890	0.000872897846438	0.00901056532255	  (0, 0)	1405.65023906	  (0, 0)	467.708498309
geneexp##PA14_36580,glgB	0.00087079519869	0.00794256429859	  (0, 0)	1223.8828836	  (0, 0)	377.46862005
geneexp##PA14_64950,pncA	0.000866330721601	0.00762268844348	  (0, 0)	1717.28837112	  (0, 0)	574.744941367
geneexp##PA14_33010,glyA2	0.000864487112305	0.00816443423342	  (0, 0)	1576.36689926	  (0, 0)	515.387723393
geneexp##PA14_39890,phzF2	0.000856370185595	0.00806399583576	  (0, 0)	1076.35010684	  (0, 0)	453.356243436
geneexp##PA14_14450	0.00083356971196	0.00763081498514	  (0, 0)	1640.44536928	  (0, 0)	564.05396367
geneexp##PA14_62450,trmA	0.000821150270431	0.00681730598616	  (0, 0)	1589.4331697	  (0, 0)	559.104168105
geneexp##PA14_31290,pa1L	0.000820373244691	0.00689195627253	  (0, 0)	1035.55817502	  (0, 0)	401.455833901
geneexp##PA14_06420	0.000818013247622	0.008536094342	  (0, 0)	717.492585458	  (0, 0)	290.094888899
geneexp##PA14_58300	0.000817531861269	0.00789499935563	  (0, 0)	2121.41096133	  (0, 0)	735.671277828
geneexp##PA14_34870,CHiC	0.000814571353978	0.00776777585159	  (0, 0)	1189.36164041	  (0, 0)	469.178341237
geneexp##PA14_28600	0.000811345672757	0.00817200002457	  (0, 0)	1745.01586443	  (0, 0)	548.492405945
geneexp##PA14_53890	0.000789330692175	0.00755972404454	  (0, 0)	706.14494354	  (0, 0)	213.047407989
geneexp##PA14_31400,ctpH	0.000768231288151	0.00789187696568	  (0, 0)	1294.53734785	  (0, 0)	452.741759921
geneexp##PA14_56870	0.000766383878722	0.00831116703718	  (0, 0)	1548.04114572	  (0, 0)	514.259081545
geneexp##PA14_66510,ynfM	0.000757736732552	0.0068290856372	  (0, 0)	1261.11675428	  (0, 0)	430.907230652
geneexp##PA14_13430,fecA	0.00075141794797	0.00840521571072	  (0, 0)	1709.93930461	  (0, 0)	561.269384089
geneexp##PA14_07890	0.00075041081948	0.00856019708305	  (0, 0)	1380.25072043	  (0, 0)	479.61757201
geneexp##PA14_09500,opmD	0.000741366769025	0.00767006694131	  (0, 0)	1162.97953509	  (0, 0)	435.149471919
geneexp##PA14_06540,bioC	0.000740972507141	0.00582101072642	  (0, 0)	1691.08003461	  (0, 0)	598.126246947
geneexp##PA14_47230	0.000735222609273	0.00770880497109	  (0, 0)	972.385418691	  (0, 0)	323.712224908
geneexp##PA14_02110	0.000732828382854	0.00720417381508	  (0, 0)	1095.34648411	  (0, 0)	356.904100815
geneexp##PA14_46640	0.000732169176753	0.00753194591841	  (0, 0)	1438.60988241	  (0, 0)	480.696764905
geneexp##PA14_06500,bioB	0.000731326599342	0.005492300519	  (0, 0)	2219.7916051	  (0, 0)	777.349407632
